Country|Total_cases|Active_cases|Total_Deaths|Total_Recovered|Total_Tests|Death/million|Tests/million|New_Case|New_death|New_Recovered|Continent
Faeroe Islands |34,658 |N/A |28 |N/A |778,000 |569 |15,802,409 |-|-|N/A |Europe 
Haiti |34,667 |73 |860 |33,734 |132,422 |74 |11,337 |-|-|-|North America 
Lesotho |36,138 |9,435 |723 |25,980 |431,221 |332 |198,199 |-|-|-|Africa 
Isle of Man |38,008 |N/A |116 |N/A |150,753 |1,353 |1,758,422 |-|-|N/A |Europe 
Bahamas |38,084 |874 |844 |36,366 |257,839 |2,107 |643,767 |-|-|-|North America 
Guinea |38,572 |347 |468 |37,757 |660,107 |34 |47,607 |-|-|-|Africa 
Togo |39,569 |2 |290 |39,277 |815,088 |33 |93,895 |-|-|-|Africa 
Mayotte |42,027 |N/A |188 |N/A |176,919 |657 |618,038 |-|-|N/A |Africa 
Mauritius |43,025 |696 |1,051 |41,278 |358,675 |824 |281,374 |-|-|-|Africa 
Tanzania |43,223 |N/A |846 |N/A |-|13 |-|-|-|N/A |Africa 
Aruba |44,224 |1,494 |292 |42,438 |177,885 |2,714 |1,653,068 |-|-|-|North America 
Cura&ccedil ao |45,986 |971 |295 |44,720 |496,693 |1,782 |3,000,640 |-|-|-|North America 
Papua New Guinea |46,864 |26 |670 |46,168 |249,149 |72 |26,813 |-|-|-|Australia/Oceania 
Andorra |48,015 |N/A |165 |N/A |249,838 |2,130 |3,225,256 |-|-|N/A |Europe 
Gabon |49,051 |70 |307 |48,674 |1,621,909 |132 |695,641 |-|-|-|Africa 
Seychelles |51,220 |0 |172 |51,048 |-|1,730 |-|-|-|-|Africa 
Burundi |54,721 |1,114 |38 |53,569 |345,742 |3 |27,386 |-|-|-|Africa 
Syria |57,743 |0 |3,165 |54,578 |146,269 |163 |7,553 |-|-|-|Asia 
Bhutan |62,697 |1,112 |21 |61,564 |2,303,734 |27 |2,923,739 |-|-|-|Asia 
Mauritania |63,839 |371 |997 |62,471 |1,009,957 |203 |206,030 |-|-|-|Africa 
Sudan |63,993 |0 |5,046 |58,947 |562,941 |110 |12,240 |-|-|-|Africa 
Cabo Verde |64,477 |305 |417 |63,755 |401,622 |735 |707,482 |-|-|-|Africa 
Madagascar |68,486 |198 |1,426 |66,862 |531,329 |49 |18,210 |-|-|-|Africa 
Fiji |69,117 |1,006 |885 |67,226 |672,883 |973 |739,866 |-|-|-|Australia/Oceania 
Belize |71,381 |N/A |688 |N/A |576,016 |1,669 |1,397,453 |-|-|N/A |North America 
Guyana |74,137 |824 |1,300 |72,013 |733,218 |1,637 |923,396 |-|-|-|South America 
Eswatini |75,191 |648 |1,427 |73,116 |1,048,704 |1,204 |885,119 |-|-|-|Africa 
French Polynesia |79,254 |N/A |650 |N/A |-|2,287 |-|-|-|N/A |Australia/Oceania 
New Caledonia |80,064 |N/A |314 |N/A |98,964 |1,079 |340,182 |-|-|N/A |Australia/Oceania 
Suriname |82,588 |N/A |1,408 |N/A |242,207 |2,359 |405,822 |-|-|N/A |South America 
Ivory Coast |88,384 |52 |835 |87,497 |1,690,934 |30 |60,951 |-|-|-|Africa 
Senegal |89,053 |58 |1,971 |87,024 |1,146,543 |112 |64,946 |-|-|-|Africa 
Malawi |89,535 |N/A |2,686 |N/A |624,784 |133 |30,959 |-|-|N/A |Africa 
French Guiana |98,041 |86,367 |420 |11,254 |651,257 |1,337 |2,072,951 |-|-|-|South America 
DRC |99,338 |13,381 |1,468 |84,489 |846,704 |15 |8,890 |-|-|-|Africa 
Channel Islands |101,717 |168 |228 |101,321 |1,252,808 |1,292 |7,099,551 |-|-|-|Europe 
Angola |107,323 |1,967 |1,937 |103,419 |1,499,795 |55 |42,818 |-|-|-|Africa 
Barbados |110,575 |1,280 |648 |108,647 |814,159 |2,250 |2,826,715 |-|-|-|North America 
Malta |121,405 |400 |883 |120,122 |2,168,199 |1,989 |4,882,968 |-|-|-|Europe 
Cameroon |125,379 |125 |1,974 |123,280 |1,751,774 |71 |62,762 |-|-|-|Africa 
Rwanda |133,518 |11 |1,468 |132,039 |6,021,981 |108 |442,778 |-|-|-|Africa 
Cambodia |139,094 |1 |3,056 |136,037 |3,091,420 |178 |180,062 |+1 |-|+2 |Asia 
Jamaica |156,857 |N/A |3,748 |N/A |1,183,986 |1,256 |396,633 |-|-|N/A |North America 
Ghana |171,889 |2 |1,462 |170,425 |2,541,625 |45 |78,456 |-|-|-|Africa 
Uganda |171,983 |67,920 |3,632 |100,431 |3,012,408 |75 |62,198 |-|-|-|Africa 
Namibia |172,280 |1,078 |4,103 |167,099 |1,062,663 |1,558 |403,460 |-|-|-|Africa 
Maldives |186,694 |22,691 |316 |163,687 |2,213,831 |584 |4,092,223 |-|-|-|Asia 
Trinidad and Tobago |191,496 |28 |4,390 |187,078 |913,289 |3,121 |649,295 |-|-|-|North America 
El Salvador |201,855 |18,215 |4,230 |179,410 |2,610,114 |646 |398,467 |-|-|-|North America 
Guadeloupe |203,235 |N/A |1,021 |N/A |938,039 |2,554 |2,346,306 |-|-|N/A |North America 
Kyrgyzstan |206,897 |7,500 |2,991 |196,406 |1,907,195 |445 |283,460 |-|-|-|Asia 
Iceland |209,889 |N/A |229 |N/A |1,996,384 |663 |5,780,036 |-|-|N/A |Europe 
Laos |218,948 |N/A |758 |N/A |1,233,207 |101 |164,845 |+2 |-|N/A |Asia 
Martinique |230,354 |N/A |1,102 |N/A |828,928 |2,946 |2,215,870 |-|-|N/A |North America 
